user,Inception,The Shawshank Redemption,The Matrix,Interstellar,Pulp Fiction,Avatar,Jurassic Park,Forrest Gump,The Godfather,The Dark Knight,Star Wars,Titanic,Gladiator,The Lion King,Fight Club,Casablanca,The Lord of the Rings,The Avengers,Eternal Sunshine of the Spotless Mind,The Social Network,Black Panther,La La Land,The Grand Budapest Hotel,Blade Runner 2049,The Incredibles,Toy Story,Gone with the Wind,The Silence of the Lambs,Shutter Island,The Revenant,The Breakfast Club,The Princess Bride,The Godfather Part II,The Big Lebowski,The Good Dinosaur
user14,1,5,1,2,2,2,5,5,2,2,4,2,4,3,1,3,1,1,3,2,4,4,3,4,2,1,1,2,2,5,1,5,2,1,2
user15,3,1,5,5,2,4,3,1,3,4,1,5,3,3,3,3,5,2,3,5,5,2,4,5,5,2,4,4,5,1,1,1,4,1,2
user16,3,1,5,5,3,1,3,3,3,4,5,1,5,1,5,5,5,5,1,1,5,1,5,1,2,3,1,5,1,2,2,1,2,2,1
user17,4,3,4,3,2,5,2,1,2,3,3,3,5,1,1,1,3,3,4,3,2,5,3,5,5,3,1,3,1,3,3,2,4,4,4
user18,2,1,5,5,3,1,3,3,4,5,1,3,2,5,1,3,5,2,3,3,1,2,5,3,3,5,4,2,1,2,1,5,5,3,5
user19,4,4,1,5,3,2,4,4,1,3,2,2,1,1,5,1,1,1,3,1,3,3,1,1,5,1,2,4,5,5,5,1,1,1,3
user20,2,2,5,1,2,5,4,3,4,5,3,3,4,2,3,3,3,2,2,2,2,4,2,4,3,4,1,5,4,3,4,2,4,4,4
user21,5,1,1,4,2,5,2,4,4,5,5,2,5,3,2,5,3,5,5,3,1,2,1,2,3,5,5,1,4,3,1,3,5,2,3
user22,1,5,2,4,5,4,4,4,4,5,4,5,3,4,1,1,1,2,2,5,5,1,3,1,2,1,3,5,5,5,5,5,3,2,5
user23,4,3,4,3,4,4,5,3,4,4,2,3,2,5,2,3,5,4,1,5,5,4,4,5,3,2,3,2,5,2,3,4,5,2,2
user24,4,5,5,3,5,4,1,5,5,3,2,4,5,3,1,1,5,5,3,4,5,5,4,5,3,5,1,2,5,3,5,5,1,3,5
user25,1,2,2,5,2,1,5,3,3,5,1,3,5,4,4,5,2,5,3,4,1,3,5,1,3,1,3,4,5,1,4,4,1,5,4
user26,2,5,5,5,4,2,2,5,4,2,3,3,5,3,5,1,5,3,5,5,3,2,3,4,2,1,1,2,5,5,2,3,2,4,4
user27,5,3,4,1,4,5,1,3,5,5,4,4,2,2,4,1,5,1,4,1,1,2,3,3,4,5,3,4,4,2,4,3,2,5,5
user28,1,5,5,5,1,3,3,1,1,1,2,3,3,1,5,3,4,4,5,1,5,1,3,3,5,1,3,4,1,4,1,4,4,5,2
user29,1,2,3,5,5,4,1,5,1,4,1,2,3,3,3,3,3,3,1,2,5,1,3,4,4,1,3,2,4,1,2,4,1,4,2
user30,2,5,1,2,1,3,3,2,1,1,1,3,2,2,1,2,2,3,2,2,4,2,5,3,3,2,2,4,5,1,4,3,3,1,1
user31,1,1,4,5,1,3,1,5,3,4,3,5,2,5,3,5,4,5,5,1,5,2,4,4,2,5,1,3,3,5,1,5,1,3,1
user32,5,2,2,1,5,3,3,4,1,4,2,2,5,1,2,1,1,4,3,1,3,3,2,1,3,3,4,5,1,2,1,5,1,1,5
user33,2,3,1,4,4,5,1,1,3,4,3,4,3,5,4,5,5,5,2,5,3,1,1,5,1,2,5,3,3,5,5,1,4,1,1
user34,4,2,3,4,1,4,3,5,1,2,4,4,2,1,4,2,1,1,1,1,1,2,2,5,5,2,3,5,3,5,5,2,2,5,1
user35,4,2,1,1,5,3,1,4,1,3,2,5,5,4,2,5,5,3,5,1,5,3,5,5,2,3,1,3,4,4,4,5,2,1,4
user36,4,3,3,3,2,4,5,4,3,2,1,3,2,4,2,2,1,1,1,4,3,1,2,2,1,2,5,2,3,4,2,3,5,3,5
user37,1,3,1,3,1,1,1,2,2,2,5,2,4,4,2,1,4,5,5,1,4,4,5,1,3,1,2,4,2,4,3,4,5,4,5
user38,4,3,1,3,2,4,2,4,3,1,2,5,2,5,1,5,2,3,1,1,3,5,5,4,1,4,1,1,2,2,1,3,5,5,5
user39,5,3,5,3,1,5,5,4,4,1,3,4,4,1,5,5,2,2,3,4,1,2,1,1,1,3,1,2,5,2,2,5,2,3,5
user40,4,4,4,1,4,1,3,4,3,5,1,2,2,3,4,5,2,1,2,5,4,2,1,4,3,5,2,2,1,5,5,1,5,3,3
user41,5,2,3,1,1,5,5,3,3,5,1,5,3,5,3,1,4,4,1,5,3,4,3,4,3,5,1,2,5,3,5,1,1,3,4
user42,2,2,1,3,5,4,3,4,1,1,5,4,4,4,1,3,2,5,3,3,2,1,3,2,5,3,5,3,5,2,5,3,2,2,5
user43,1,1,2,4,1,3,4,4,1,3,2,1,2,1,3,5,2,5,1,5,2,5,4,3,5,4,2,4,4,3,2,2,1,1,3
user44,5,2,5,3,1,2,4,5,4,4,1,5,4,3,2,5,2,5,1,1,2,2,5,4,4,3,1,4,4,1,1,3,3,5,2
user45,5,4,2,4,5,3,1,5,5,4,1,1,3,1,2,3,4,2,1,1,4,4,5,2,2,2,2,5,4,4,2,1,2,1,5
user46,5,2,4,2,5,2,1,3,4,2,4,5,2,4,3,1,1,5,4,3,4,5,5,4,4,4,5,2,1,2,2,3,2,2,3
user47,2,3,3,1,1,5,3,2,3,2,1,5,1,4,5,3,5,4,3,1,1,3,5,5,3,3,2,4,5,3,3,2,5,4,3
user48,3,4,1,4,5,3,3,5,5,1,4,4,5,4,4,2,5,5,1,1,5,1,4,1,2,2,1,4,3,3,1,1,1,3,2
user49,5,3,3,4,5,2,4,2,1,4,2,4,4,5,2,5,1,5,1,3,2,5,3,2,1,1,2,5,5,4,2,2,5,2,5
user50,4,3,4,3,4,1,2,2,2,1,1,2,1,5,1,1,3,3,4,4,4,5,4,5,2,5,3,4,5,2,1,1,3,4,5
user51,3,3,5,4,2,5,2,2,4,3,5,5,1,3,4,5,5,1,1,4,5,4,1,4,4,4,3,2,4,5,3,4,2,1,2
user52,4,5,2,4,1,5,1,4,2,5,1,5,2,4,4,5,3,1,2,4,3,2,5,5,2,4,1,3,3,5,1,1,3,2,5
user53,3,3,4,3,5,4,2,4,3,4,3,2,3,5,5,1,3,1,2,4,3,3,1,5,2,2,3,4,3,4,1,3,1,5,3
user54,4,2,5,4,4,4,2,4,3,4,5,5,3,5,2,4,2,2,4,5,3,4,5,2,3,4,2,1,2,4,2,1,2,2,5
user55,3,5,3,3,3,4,1,3,2,5,4,1,1,2,5,5,1,3,2,1,3,5,4,1,4,4,2,5,3,1,2,3,3,5,1
user56,3,2,1,5,4,5,2,3,1,4,5,3,1,2,1,1,5,5,1,4,4,5,5,5,3,2,5,5,2,1,1,1,2,3,5
user57,1,1,3,2,1,4,3,3,4,3,4,3,4,5,3,1,2,4,1,3,5,1,5,1,3,3,2,1,1,5,1,1,3,2,1
user58,1,1,4,3,3,1,4,3,3,2,2,1,2,4,5,5,4,4,4,5,5,3,4,5,5,3,3,1,4,5,2,2,4,5,4
user59,4,4,4,4,2,1,5,3,1,5,2,1,2,3,1,2,5,3,1,5,4,4,5,4,1,5,2,5,1,1,2,2,2,5,5
user60,1,1,1,4,2,1,1,3,5,1,4,5,1,3,2,2,4,3,5,5,1,5,4,3,4,2,1,3,5,4,1,3,2,1,4
user61,2,3,1,2,5,1,4,3,1,1,4,2,2,2,2,5,1,2,2,3,1,5,2,2,3,4,5,2,5,4,4,1,1,3,3
user62,4,2,2,5,2,3,3,4,3,3,5,2,5,3,3,3,1,2,1,2,4,4,3,3,1,2,3,3,3,1,3,3,3,3,1
user63,2,5,5,5,1,5,4,2,1,5,1,3,3,5,4,2,3,3,4,4,5,1,3,2,4,3,3,4,4,3,4,4,4,5,5
user64,3,4,5,1,3,3,1,5,4,5,2,1,5,1,5,4,2,3,1,4,4,5,4,4,2,5,5,2,5,4,4,4,5,2,3
user65,1,2,4,2,1,5,4,4,4,3,3,1,4,1,2,4,3,2,3,4,5,4,2,4,3,5,2,5,3,4,2,5,3,2,5
user66,4,5,2,5,4,5,2,1,5,5,4,5,5,3,3,1,4,3,2,2,5,2,5,2,1,4,1,3,5,2,4,5,2,1,1
user67,4,5,5,2,3,1,1,2,1,1,4,1,2,4,2,5,5,3,5,3,2,1,3,1,4,5,5,4,4,1,5,5,2,3,4
user68,2,1,1,4,5,1,2,5,2,4,2,3,3,2,3,1,4,3,4,1,5,4,4,2,3,3,2,4,5,5,1,1,4,1,3
user69,4,5,1,4,1,4,2,1,2,1,4,4,4,1,3,2,5,3,2,3,2,2,2,5,3,5,2,1,3,5,2,1,1,3,3
user70,4,4,5,2,3,5,1,2,2,5,1,5,2,5,4,2,2,4,3,4,4,1,3,4,1,1,1,3,5,5,3,1,1,5,2
user71,2,1,5,2,1,4,2,1,1,1,3,4,1,4,4,4,5,5,3,1,2,2,5,4,2,2,3,4,3,4,2,5,2,5,4
user72,4,3,3,2,2,2,3,3,4,3,3,3,2,2,1,5,2,2,1,1,4,3,5,3,1,1,5,3,3,2,4,1,4,1,1
user73,1,3,2,5,2,4,4,5,4,5,5,2,5,1,3,3,2,3,3,4,1,1,1,4,1,1,5,1,1,4,4,1,2,1,1
user74,1,2,1,4,1,2,3,3,2,3,2,2,2,1,5,3,1,5,1,2,1,2,1,1,3,5,5,3,3,5,4,2,2,1,4
user75,1,1,2,3,4,1,1,4,5,1,5,4,2,5,1,2,5,4,2,4,1,3,1,3,4,3,4,2,5,5,5,4,5,3,4
user76,3,3,4,3,3,3,3,4,5,1,5,1,4,5,2,2,2,3,2,1,5,5,5,1,4,3,1,1,3,4,3,2,2,1,3
user77,3,3,1,2,2,4,2,1,1,2,1,5,2,3,4,5,1,5,3,3,2,4,2,4,3,4,1,2,4,5,3,5,4,4,5
user78,5,5,4,2,3,4,3,3,4,4,4,1,1,2,3,1,5,2,4,5,2,3,1,4,2,5,5,5,3,5,4,3,4,2,1
user79,5,3,5,2,5,4,5,1,3,4,4,1,4,2,4,2,1,1,5,5,3,4,5,4,3,3,4,3,4,4,3,1,2,2,1
user80,3,1,2,3,3,2,1,5,3,1,1,5,1,1,5,2,3,4,1,2,1,3,4,3,4,1,5,1,3,4,1,1,1,4,3
user81,3,3,1,2,1,5,5,4,5,3,3,1,4,2,4,4,4,5,3,5,2,4,5,3,3,2,3,5,2,5,1,4,5,2,1
user82,4,1,3,3,3,5,4,2,5,5,1,4,3,5,3,1,5,1,3,4,5,4,5,3,2,4,1,2,3,5,3,2,3,4,1
user83,1,5,2,3,5,3,1,2,2,2,3,4,4,4,1,4,3,1,5,3,3,2,5,5,4,2,3,5,1,5,3,1,1,1,4
user84,4,1,3,2,2,4,1,1,1,3,1,3,5,4,5,3,5,4,5,5,1,3,5,3,3,1,1,3,4,2,5,5,5,4,2
user85,5,2,3,3,4,1,4,4,5,1,4,1,2,3,2,5,1,1,3,5,1,5,1,4,1,3,4,5,5,5,2,4,2,2,1
user86,1,1,4,5,4,1,5,1,2,3,2,2,1,1,5,2,2,5,2,2,5,5,4,4,4,5,5,2,1,3,3,3,2,3,5
user87,3,4,5,4,4,5,4,2,5,2,1,1,1,4,3,1,2,1,2,4,3,4,2,4,4,4,5,1,1,5,3,2,1,4,5
user88,4,5,3,2,2,1,2,3,5,2,5,4,5,5,4,1,3,3,2,3,3,3,2,3,4,2,3,4,4,4,2,4,3,3,3
user89,1,3,2,2,4,5,4,5,5,2,2,5,3,5,3,5,1,1,5,5,3,1,5,1,2,2,1,2,4,5,4,2,5,5,5
user90,5,2,3,1,5,2,2,1,2,5,5,4,3,2,1,3,5,2,2,5,3,1,3,3,3,2,5,2,2,3,4,4,1,2,4
user91,3,3,1,2,2,4,4,2,5,5,3,1,1,4,5,4,4,3,4,4,1,2,4,1,5,1,2,5,5,3,5,2,2,1,2
user92,1,1,4,5,4,3,1,1,5,2,2,1,5,3,4,2,3,4,1,3,5,1,2,1,2,3,4,2,5,3,3,3,2,5,2
user93,5,2,3,4,5,4,4,2,5,5,1,1,2,5,5,5,4,2,1,4,4,3,4,5,4,3,5,5,3,1,2,5,4,4,1
user94,3,5,4,2,5,1,2,4,2,4,4,4,1,3,1,4,3,3,1,5,4,3,4,4,5,5,2,3,5,3,1,3,5,2,5
user95,3,5,1,2,2,5,2,2,5,5,3,4,5,3,3,1,2,5,3,5,1,3,1,4,1,4,2,5,5,2,4,4,5,1,2
user96,5,1,5,4,2,3,5,2,5,1,4,4,3,5,2,2,1,3,4,1,1,3,3,4,4,5,5,5,1,2,5,3,1,3,2
user97,3,3,1,2,3,2,4,5,1,2,2,5,2,1,2,2,3,2,1,1,2,1,4,2,2,4,1,1,4,2,3,3,5,3,4
user98,3,1,2,3,1,2,3,2,2,3,2,5,3,2,4,2,5,5,3,1,1,3,2,2,5,4,2,3,2,3,1,1,2,5,3
user99,1,1,3,3,3,1,4,1,5,4,4,5,2,3,2,5,2,2,4,2,4,4,1,4,4,4,1,4,4,2,4,5,2,1,5
user100,4,1,4,1,5,1,2,5,5,3,1,5,1,3,2,1,2,5,3,3,3,1,2,2,1,5,4,2,1,5,1,4,2,2,4
user101,1,4,1,5,2,3,2,1,3,5,3,1,4,1,1,2,2,3,2,3,1,1,5,3,1,2,5,5,5,4,3,2,4,4,3
user102,4,5,2,1,2,1,5,4,2,5,3,1,3,1,4,5,4,2,3,1,4,1,2,1,4,3,1,3,1,3,1,2,2,3,5
user103,3,5,5,5,2,2,1,5,3,5,1,2,2,5,4,1,3,3,2,2,3,3,2,5,2,4,3,1,4,1,5,2,3,2,5
user104,2,3,4,3,2,2,4,2,3,2,2,2,1,5,2,5,4,5,3,1,5,5,2,5,5,3,5,2,3,5,5,1,1,1,4
user105,5,1,5,2,4,3,5,1,3,3,1,2,3,3,1,1,2,5,3,1,4,5,1,4,2,2,5,1,3,4,4,2,2,4,5
user106,2,1,3,4,2,5,1,4,5,4,4,2,3,2,1,4,1,1,1,4,2,5,5,2,2,4,5,3,5,2,1,4,4,2,2
user107,3,1,1,5,3,3,2,2,5,5,1,4,5,4,1,1,1,5,5,1,5,5,5,2,2,4,4,3,1,2,3,5,5,5,2
user108,2,5,2,1,5,3,2,4,1,2,4,1,1,3,2,5,3,2,5,2,5,2,5,1,2,5,3,3,2,4,2,3,5,1,2
user109,1,2,2,5,5,4,4,3,5,4,3,4,2,4,1,2,4,3,5,5,5,4,1,3,4,5,5,4,5,2,3,2,3,2,1
user110,5,1,1,1,5,5,5,5,2,2,3,3,1,2,4,4,2,4,1,5,1,2,2,2,4,2,3,3,5,4,4,4,5,2,3
user111,2,3,1,3,3,4,1,1,2,5,3,5,2,1,2,1,3,5,3,1,3,1,1,3,4,4,2,5,3,2,4,5,3,3,5
user112,3,4,5,2,1,1,5,4,3,1,1,4,2,4,4,2,3,1,4,1,3,3,1,2,3,5,3,5,1,2,4,2,2,1,3
user113,4,3,2,1,4,3,5,5,5,2,5,4,4,5,4,1,4,4,3,1,3,1,4,2,1,1,1,5,4,5,4,1,2,2,2
user114,2,2,2,1,1,5,1,4,5,4,1,4,4,5,4,2,5,4,2,3,4,1,1,3,1,3,3,3,2,2,1,2,3,3,3
user115,4,2,4,4,4,5,4,1,1,5,4,5,2,4,1,2,2,1,2,3,2,5,2,1,5,2,1,1,3,4,5,2,4,5,2
user116,1,5,1,5,1,4,2,4,2,2,1,2,1,5,1,3,1,5,1,5,3,1,2,3,5,3,2,4,3,3,3,1,5,3,4
user117,2,5,1,1,1,3,1,1,2,4,2,1,1,3,1,5,1,1,4,1,3,1,5,2,4,1,4,4,4,1,4,1,3,1,4
user118,4,4,2,4,2,1,2,1,2,3,5,2,5,1,4,2,4,3,4,5,3,3,2,3,4,2,2,3,2,5,1,1,5,2,1
user119,4,3,3,5,2,2,5,4,2,5,2,4,1,5,1,3,1,3,4,2,3,4,3,4,5,2,4,5,3,3,2,1,2,5,3
user120,3,1,5,2,1,3,4,4,5,3,2,1,4,2,2,4,4,3,1,4,2,4,3,2,4,1,5,5,2,1,2,2,3,1,5
user121,1,5,1,3,3,3,4,4,2,4,2,1,5,4,1,2,4,3,5,5,4,5,3,1,1,1,3,1,2,3,1,4,2,2,2
user122,5,5,2,3,4,4,4,4,2,4,4,5,5,1,4,2,3,2,1,4,1,5,4,5,4,3,3,1,5,3,3,3,3,2,3
user123,4,1,3,4,1,3,3,5,1,3,3,5,4,3,5,5,4,5,1,2,2,3,5,2,2,5,3,3,5,4,4,5,1,4,1
user124,1,2,3,2,1,4,2,1,5,5,4,3,4,5,2,5,4,2,4,1,2,4,5,2,2,5,3,2,2,4,4,3,5,3,3
user125,4,5,5,2,1,5,1,3,5,1,5,4,2,4,3,2,2,2,5,3,3,3,2,3,3,5,3,4,3,1,2,3,4,3,2
user126,4,4,1,2,4,2,1,2,1,2,1,1,3,3,1,4,1,3,2,1,2,3,2,4,5,2,3,4,1,5,5,5,5,3,5
user127,1,4,3,1,2,5,1,1,5,5,2,5,2,2,3,3,1,1,4,2,4,3,2,5,2,1,3,5,3,2,1,2,4,1,3
user128,2,5,5,5,4,5,1,1,1,4,3,2,5,4,2,1,1,2,2,4,4,4,2,5,4,5,4,2,5,4,4,5,3,5,1
user129,3,4,2,3,4,1,2,5,2,2,3,2,2,5,5,1,4,3,2,5,4,1,1,4,5,1,1,3,2,2,5,4,1,2,1
user130,3,5,4,3,5,5,3,5,3,4,4,5,5,2,3,4,2,3,3,5,1,2,3,1,5,2,2,3,5,2,3,3,3,2,3
user131,4,2,5,5,5,3,5,1,5,4,2,4,1,2,1,5,1,3,1,5,1,3,1,5,1,2,5,3,3,1,1,4,4,3,2
user132,2,3,3,1,4,2,2,4,3,3,1,5,1,1,4,1,4,4,5,1,3,1,3,4,3,3,2,5,5,1,1,1,4,2,5
user133,1,1,3,2,5,3,3,5,2,4,4,5,3,4,3,4,4,2,4,4,1,5,3,1,5,1,5,1,5,1,5,5,4,3,4
user134,5,1,4,4,4,5,2,3,2,2,5,1,4,4,1,3,1,4,4,1,5,1,3,2,3,3,3,2,2,4,1,2,3,3,1
user135,3,2,4,2,1,5,2,1,3,3,3,4,3,3,1,2,4,1,4,2,2,5,3,5,5,4,4,4,2,5,2,2,4,5,2
user136,5,3,4,5,3,4,4,3,5,2,5,1,3,3,2,2,5,4,5,5,3,4,4,5,4,5,2,2,2,4,1,2,3,2,1
user137,5,1,4,1,1,2,4,3,4,3,2,5,3,3,5,1,1,5,5,4,1,3,2,2,5,1,3,4,4,5,5,5,4,5,4
user138,5,3,4,3,5,5,5,2,4,1,3,4,1,1,2,2,1,4,2,2,3,2,1,3,4,4,2,4,4,5,3,3,2,5,4
user139,4,1,5,3,1,5,3,3,1,3,4,5,2,5,5,4,1,1,4,4,2,2,3,1,3,1,5,5,2,4,3,5,4,5,3
user140,1,5,3,4,4,5,5,5,5,4,3,2,1,4,2,5,5,2,4,1,3,3,3,4,4,1,3,5,5,5,3,2,2,1,1
user141,2,2,1,4,1,2,2,2,5,3,4,1,1,1,4,4,2,5,1,1,4,3,3,1,2,3,1,5,1,4,4,3,2,2,2
user142,4,3,1,5,2,1,3,2,4,2,5,2,2,3,2,5,2,1,4,5,2,1,2,2,2,1,1,2,1,4,3,4,3,4,3
user143,4,2,3,5,3,5,2,2,4,5,3,5,2,1,1,5,1,1,1,3,5,2,4,3,2,5,1,1,3,4,4,4,5,1,2
user144,3,3,4,4,3,4,1,2,1,2,5,2,4,3,5,2,3,2,4,5,2,3,4,1,1,2,4,1,4,3,3,3,5,5,5
user145,3,3,3,4,2,5,3,5,4,2,4,4,3,3,5,5,5,3,3,1,5,2,1,1,3,1,4,3,5,1,1,4,5,1,3
user146,4,2,4,5,3,2,3,5,1,5,2,5,1,1,1,2,2,2,5,4,3,1,4,2,1,4,1,2,1,1,5,2,1,4,1
user147,5,2,4,1,5,4,1,3,3,2,1,3,1,2,1,4,3,4,4,1,1,2,3,2,5,3,1,1,1,4,1,2,3,5,5
user148,2,4,5,5,5,1,5,1,1,2,1,4,3,1,3,5,5,3,3,1,1,5,2,3,2,5,4,5,1,5,1,2,3,1,2
user149,5,2,4,1,5,5,5,4,3,4,4,4,5,2,5,1,1,5,4,2,3,4,2,2,2,2,4,3,3,4,5,3,2,3,4
user150,2,5,5,2,3,5,1,3,1,4,2,3,5,1,2,3,5,3,5,1,2,3,2,5,1,2,3,3,4,5,3,5,5,3,5
user151,3,3,4,1,5,1,4,2,1,1,4,5,4,3,2,4,3,2,2,1,4,1,2,4,1,5,2,2,3,4,4,3,1,4,3
user152,3,3,3,4,1,2,2,4,4,3,1,2,2,4,5,4,5,3,3,3,1,3,5,3,3,3,1,4,1,5,2,1,4,3,5
user153,1,2,4,4,4,1,1,4,4,3,1,5,1,3,2,4,4,5,2,2,4,4,2,5,5,1,1,5,3,2,1,3,4,5,1
user154,1,4,1,1,4,1,4,2,4,4,1,5,3,4,3,4,3,1,4,1,5,4,4,1,4,4,2,1,1,5,1,5,5,2,5
user155,1,1,3,5,2,2,2,4,4,4,2,2,2,3,2,2,3,4,5,4,3,3,5,2,3,4,2,2,3,1,5,4,3,1,1
user156,3,2,2,2,1,1,1,1,4,4,4,4,3,4,4,4,4,2,1,2,5,5,5,4,4,3,2,4,3,1,3,3,2,2,3
user157,2,3,5,1,5,2,5,3,4,3,3,4,3,5,4,5,2,4,4,4,4,2,1,1,5,3,5,2,2,1,1,3,3,2,4
user158,3,2,2,2,4,3,4,2,5,4,1,3,2,1,2,4,1,3,5,2,5,4,3,1,4,3,2,1,3,2,2,3,4,5,5
user159,1,4,1,1,1,3,1,5,5,4,1,1,2,3,4,1,1,2,2,3,1,3,3,4,4,1,4,2,3,5,5,2,2,1,2
user160,1,5,2,4,2,2,5,5,1,2,4,2,3,4,5,2,1,3,1,3,1,1,1,5,1,1,2,3,4,3,5,3,3,3,5
user161,2,2,2,2,1,4,5,3,5,1,3,2,1,1,5,4,2,4,5,3,2,4,2,2,4,2,5,5,3,5,2,5,4,5,4
user162,2,2,1,4,4,1,3,5,1,2,1,4,2,3,5,3,1,3,1,3,4,4,5,4,5,4,1,5,4,4,1,3,4,4,3
user163,3,3,2,5,4,1,4,4,2,5,4,3,4,2,2,4,4,3,1,4,5,1,2,1,2,2,4,3,4,4,2,2,4,1,1
user164,3,2,2,5,1,2,5,4,2,1,5,5,1,4,1,1,5,1,5,3,3,3,5,1,2,5,2,1,5,5,1,2,5,1,2
user165,3,4,1,2,1,1,2,5,5,4,2,2,5,5,3,5,5,4,4,1,2,4,3,4,3,4,5,1,5,5,4,5,5,2,1
user166,1,4,3,3,2,5,2,1,4,4,3,2,4,2,1,1,3,4,1,5,3,5,5,1,3,5,2,5,5,4,1,3,2,5,5
user167,4,4,1,3,5,1,3,4,1,1,2,3,1,3,1,5,3,2,1,5,4,2,3,3,1,3,4,2,5,3,5,4,1,3,3
user168,2,5,1,3,2,3,2,2,4,4,2,5,1,2,2,4,3,2,3,2,5,4,1,5,2,2,3,5,3,4,5,3,2,5,2
user169,3,2,3,4,5,4,5,3,3,5,3,4,2,5,5,4,2,3,3,3,5,4,5,4,5,4,5,3,5,1,3,5,1,3,2
user170,3,2,2,5,1,4,2,5,1,3,2,1,2,5,5,1,2,1,2,1,5,4,4,1,2,4,5,3,2,1,5,3,2,4,5
user171,1,3,2,2,1,2,5,3,1,1,3,3,5,1,4,2,3,5,2,4,5,1,3,1,2,1,3,4,2,2,2,2,4,3,4
user172,4,4,4,3,4,1,5,3,4,1,3,1,2,5,5,2,4,2,1,3,4,2,2,4,2,5,2,4,5,1,1,5,5,4,5
user173,4,4,2,2,1,5,2,5,5,3,5,1,3,4,1,5,5,4,5,4,5,5,4,3,2,1,1,1,1,4,4,2,5,2,2
user174,5,3,3,4,1,3,5,2,5,2,5,1,4,3,4,1,1,4,5,3,5,1,2,2,4,3,3,2,1,2,1,2,3,5,4
user175,4,1,1,2,3,4,1,1,2,4,1,4,3,5,4,2,1,2,1,3,1,4,1,3,1,4,5,2,2,5,5,5,2,4,3
user176,5,5,1,5,2,2,1,5,3,1,4,2,4,1,4,1,3,4,1,4,5,3,5,5,1,4,5,3,3,3,1,1,3,3,5
user177,3,3,5,3,2,4,5,2,5,3,5,2,4,3,4,3,3,1,3,5,1,5,3,1,3,3,1,5,4,4,4,1,3,3,2
user178,2,2,4,2,1,4,3,3,3,2,2,5,4,5,4,5,4,3,5,4,3,5,2,4,3,3,4,3,5,4,1,2,4,4,4
user179,4,5,2,4,4,5,4,2,2,2,2,3,2,3,4,2,2,1,3,1,2,5,2,4,5,4,5,1,2,5,1,4,2,4,3
user180,1,5,4,3,3,2,1,3,4,2,1,1,1,3,1,2,2,2,5,3,2,5,4,3,5,3,4,1,5,5,5,1,5,4,3
user181,3,1,5,3,1,3,1,5,4,1,5,4,3,5,1,5,3,1,2,2,1,4,2,4,2,1,3,5,1,4,3,4,4,3,3
user182,5,2,5,5,5,4,2,5,2,2,4,4,3,5,3,4,3,4,5,1,2,3,1,5,4,5,1,3,3,3,1,4,3,5,3
user183,3,3,2,5,5,1,5,3,3,3,5,2,3,3,3,2,5,3,2,4,5,3,4,1,1,2,2,1,2,1,2,1,5,1,4
user184,3,3,1,5,5,1,2,4,1,3,4,4,1,1,2,4,1,4,4,1,2,5,5,4,2,4,4,1,1,2,2,3,5,1,5
